שם ישוב,סמל ישוב,אשכול,דירוג,ערך,אוכלסייה
נאות סמדר,1197,1,13,-2.235,210
בני דרום,592,6,1014,0.842,671
קבוצת יבנה,334,6,1022,0.862,946
כרם יבנה (ישיבה),1094,6,1023,0.862,541
בית רבן,848,6,1031,0.884,"1,057"
ניר גלים,720,6,1033,0.896,"1,395"
בית גמליאל,571,6,1066,1.045,953
בן זכאי,760,6,1067,1.048,"1,083"
מבוא מודיעים,1141,7,998,0.797,265
לפיד,1310,7,1055,0.994,"2,551"
גמזו,745,7,1056,1.006,"1,165"
שילת,1165,7,1060,1.022,679
כפר רות,1166,7,1062,1.037,208
כפר דניאל,707,7,1068,1.052,726
חדיד,618,7,1103,1.273,866
בית נחמיה,784,7,1108,1.292,887
אחיסמך,804,7,1109,1.301,"1,349"
בית עריף,604,7,1111,1.334,"1,112"
כרם בן שמן,88,7,1113,1.394,83
בן שמן (מושב),2013,7,1119,1.450,855
כפר טרומן,673,7,1120,1.456,882
בן שמן (כפר נוער),1084,7,1121,1.461,625
גינתון,863,7,1128,1.520,884
ברקת,2038,7,1130,1.533,"1,867"
טירת יהודה,663,7,1132,1.539,"1,183"
"גבעת כ""ח",802,7,1135,1.547,859
מזור,606,7,1138,1.602,"1,300"
רינתיה,616,7,1143,1.655,"1,134"
נופך,257,7,1153,1.773,544
בארות יצחק,450,7,1164,1.950,415
בני עטרות,448,7,1172,2.001,995
נחלים,449,7,1185,2.164,"1,690"
חלץ,820,5,565,-0.172,449
נתיב העשרה,1242,5,579,-0.147,805
גברעם,342,5,591,-0.129,372
זיקים,584,5,611,-0.107,625
כרמייה,768,5,617,-0.098,644
יד מרדכי,358,5,634,-0.073,678
תלמי יפה,744,5,668,-0.025,805
כוכב מיכאל,824,5,708,0.052,992
גיאה,706,5,713,0.061,929
מבקיעים,573,5,728,0.085,395
בית שקמה,747,5,743,0.113,827
משען,791,5,789,0.227,"1,005"
בת הדר,1323,5,795,0.244,704
ניר ישראל,699,5,802,0.260,853
הודייה,726,5,804,0.262,488
ברכיה,746,5,812,0.279,"1,199"
באר גנים,1376,5,814,0.292,368
ניצן,351,5,831,0.333,"1,853"
ניצן ב',1419,5,842,0.373,"1,349"
ניצנים,359,5,854,0.399,341
כפר סילבר,107,5,864,0.418,227
עין חוד,1320,5,547,-0.211,273
"כרם מהר""ל",580,5,608,-0.113,706
ניר עציון,769,5,610,-0.109,899
בית אורן,317,5,620,-0.095,452
עופר,810,5,621,-0.095,639
עין הוד,74,5,624,-0.089,590
נווה ים,312,5,645,-0.064,252
עין כרמל,426,5,646,-0.060,894
עתלית,53,5,656,-0.044,"6,818"
מגדים,689,5,657,-0.042,"1,277"
הבונים,675,5,663,-0.030,345
בית צבי,212,5,666,-0.028,201
צרופה,612,5,671,-0.023,"1,093"
גבע כרמל,683,5,675,-0.018,"1,166"
עין איילה,687,5,693,0.026,"1,127"
בת שלמה,33,5,699,0.037,608
נחשולים,433,5,702,0.046,642
דור,738,5,712,0.058,398
החותרים,434,5,724,0.079,730
מאיר שפיה,102,5,748,0.124,317
כפר גלים,427,5,757,0.143,294
מעיין צבי,290,5,779,0.205,683
מעגן מיכאל,694,5,794,0.241,"1,890"
בית חנניה,800,5,818,0.303,901
קיסריה,1167,5,841,0.363,"4,853"
שדות ים,327,5,849,0.391,969
אודים,446,7,1070,1.053,"1,306"
קריית שלמה,412,7,1072,1.074,290
יקום,417,7,1073,1.077,709
תל יצחק,287,7,1074,1.082,"1,023"
בית יהושע,288,7,1080,1.091,"1,062"
ארסוף,1324,7,1090,1.177,154
חרוצים,1024,7,1091,1.181,889
געש,842,7,1092,1.194,682
